fid, fiv, hid, hiv, batt, hr, hbn, hbts1, hbts2, hbts3, hbts4, hbts5, hbts6, hbts7, hbts8, hbts9, hbts10, hbts11, hbts12, hbts13, hbts14, hbts15, distance, speed, strides
26,1f,80,1d,96,68,0,17173,16333,15449,14557,13677,12701,11745,10837,9857,8881,7965,7025,6105,5237,4417,173,0,9
26,1f,80,1d,95,68,1,18049,17173,16333,15449,14557,13677,12701,11745,10837,9857,8881,7965,7025,6105,5237,173,0,9
26,1f,80,1d,97,68,3,19853,18953,18049,17173,16333,15449,14557,13677,12701,11745,10837,9857,8881,7965,7025,173,0,9
26,1f,80,1d,97,68,4,20729,19853,18953,18049,17173,16333,15449,14557,13677,12701,11745,10837,9857,8881,7965,173,0,9
26,1f,80,1d,96,68,5,21649,20729,19853,18953,18049,17173,16333,15449,14557,13677,12701,11745,10837,9857,8881,173,0,9
26,1f,80,1d,95,68,6,22533,21649,20729,19853,18953,18049,17173,16333,15449,14557,13677,12701,11745,10837,9857,173,0,9
26,1f,80,1d,95,68,7,23349,22533,21649,20729,19853,18953,18049,17173,16333,15449,14557,13677,12701,11745,10837,173,0,9
26,1f,80,1d,94,69,9,24869,24125,23349,22533,21649,20729,19853,18953,18049,17173,16333,15449,14557,13677,12701,173,0,9
26,1f,80,1d,97,71,10,25589,24869,24125,23349,22533,21649,20729,19853,18953,18049,17173,16333,15449,14557,13677,173,0,9
26,1f,80,1d,94,72,11,26345,25589,24869,24125,23349,22533,21649,20729,19853,18953,18049,17173,16333,15449,14557,173,0,9
26,1f,80,1d,95,72,12,27165,26345,25589,24869,24125,23349,22533,21649,20729,19853,18953,18049,17173,16333,15449,173,0,9
